10/19/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		923		356		185		238		864		0
	2		923		358		188		229		1067		0
	3		925		358		188		228		1289		0
	4		926		361		189		227		1168		0
	5		926		360		189		227		1047		0
	6		925		360		189		227		921		0
	7		924		353		189		227		923		0
	8		924		358		188		258		835		74
	9		922		355		187		282		648		318
	10		920		351		192		294		645		690
	11		919		328		190		299		702		860
	12		917		353		191		287		617		915
	13		914		355		193		292		461		914
	14		910		355		194		294		476		900
	15		912		350		193		292		683		848
	16		911		362		192		299		1043		735
	17		910		366		192		296		1282		519
	18		911		366		192		295		1508		143
	19		909		358		193		289		1753		0
	20		901		335		193		284		2114		0
	21		879		316		193		281		2220		0
	22		856		317		189		278		2268		0
	23		858		316		189		269		2249		0
	24		860		314		190		260		2120		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2567		2251		10649		7584		963		
	2		2766		2252		9775		7297		845		
	3		2989		2255		9152		7148		815		
	4		2871		2255		9346		6818		814		
	5		2750		2256		9880		6701		850		
	6		2622		2256		10579		7483		890		
	7		2617		2255		11573		8213		1195		
	8		2637		2256		12718		8269		1320		
	9		2712		2254		13140		8481		1394		
	10		3092		2252		13854		8466		1448		
	11		3297		2251		14789		8479		1368		
	12		3279		2250		15487		8148		1428		
	13		3129		2250		15718		8082		1679		
	14		3128		2252		15854		8160		1927		
	15		3277		2253		15773		8140		2153		
	16		3543		2253		15845		7631		2319		
	17		3567		2252		14983		8167		2293		
	18		3415		2252		14344		8175		2251		
	19		3503		2252		14394		8255		2402		
	20		3828		2253		14340		8209		2204		
	21		3889		2255		13380		8224		2009		
	22		3908		2255		12193		8257		1688		
	23		3880		2257		11499		7916		1379		
	24		3744		2258		10210		7481		1148		
