11/09/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		926		283		186		194		1718		0
	2		928		284		186		190		1755		0
	3		928		286		185		176		1940		0
	4		928		287		187		174		1882		0
	5		928		291		187		173		1942		0
	6		927		289		187		172		1956		0
	7		925		278		187		223		2061		18
	8		926		290		186		252		1969		179
	9		924		298		182		244		2073		404
	10		923		309		179		241		2027		602
	11		922		312		172		230		1944		687
	12		922		311		172		233		1807		766
	13		920		311		170		228		1804		689
	14		920		313		170		218		2055		655
	15		920		312		175		210		1725		580
	16		920		321		177		218		1558		201
	17		922		332		178		224		1576		8
	18		924		330		178		270		1486		0
	19		924		314		177		287		1625		0
	20		924		313		179		287		1798		0
	21		924		312		183		257		2035		0
	22		924		304		186		251		2018		0
	23		926		267		189		231		1739		0
	24		927		264		191		199		1701		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3308		2250		8612		6151		1328		
	2		3343		2250		8182		5893		1231		
	3		3516		2250		7836		5929		1077		
	4		3458		2251		7930		5781		1080		
	5		3522		2254		8197		5801		1320		
	6		3531		2255		9096		6056		1355		
	7		3693		2253		9962		6550		1697		
	8		3803		2252		11169		6622		1654		
	9		4125		2252		11704		6237		1771		
	10		4282		2251		11815		6510		1722		
	11		4267		2249		11855		6673		1808		
	12		4211		2244		11579		6820		1810		
	13		4122		2243		11263		6961		1779		
	14		4332		2247		10953		6804		1910		
	15		3922		2246		11128		6713		1934		
	16		3395		2244		11489		6732		1967		
	17		3240		2242		11699		7185		2110		
	18		3189		2238		13495		7507		2457		
	19		3326		2238		13883		7135		2369		
	20		3500		2240		13623		6368		2629		
	21		3711		2241		12388		7084		2067		
	22		3684		2241		11414		7198		1697		
	23		3353		2242		11240		6168		1613		
	24		3282		2243		10085		5956		1475		
