11/16/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		925		281		198		206		284		0
	2		924		282		198		198		423		0
	3		923		282		198		178		414		0
	4		923		284		199		178		284		0
	5		923		285		200		200		191		0
	6		924		284		199		226		196		0
	7		922		281		198		272		86		7
	8		922		283		197		302		37		137
	9		920		280		196		305		44		332
	10		918		283		197		306		137		456
	11		918		281		197		279		182		583
	12		918		271		197		293		255		602
	13		918		264		197		276		361		620
	14		918		263		198		276		405		499
	15		919		264		199		273		471		348
	16		919		265		200		260		381		157
	17		918		265		203		269		220		8
	18		918		263		204		304		192		0
	19		917		262		200		334		128		0
	20		917		263		201		314		159		0
	21		918		263		202		275		213		0
	22		919		265		204		254		366		0
	23		919		265		200		226		373		0
	24		919		265		199		211		339		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1893		1627		10890		5716		1284		
	2		2024		1627		10635		5401		1023		
	3		1995		1626		10307		5548		1021		
	4		1869		1626		10665		5567		1077		
	5		1800		1625		10326		5548		1340		
	6		1828		1626		10943		6175		1432		
	7		1768		1627		12009		6875		2248		
	8		1878		1628		12929		7390		2212		
	9		2078		1628		13443		7387		2246		
	10		2297		1629		13718		7616		2021		
	11		2441		1629		13684		7751		2101		
	12		2536		1657		13798		7528		2137		
	13		2637		1733		13571		7555		2079		
	14		2559		1881		13323		7496		2303		
	15		2473		2029		13246		7354		2293		
	16		2181		2164		13331		7368		2225		
	17		1883		2210		13769		7504		2546		
	18		1882		2233		14967		7739		2998		
	19		1841		2240		14752		7696		3049		
	20		1854		2239		14542		7741		2455		
	21		1871		2245		13714		7807		2304		
	22		2008		2248		12479		7691		2065		
	23		1984		2252		11555		6975		1826		
	24		1933		2254		10889		6056		1588		
