10/14/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		920		376		185		235		676		0
	2		920		377		185		230		526		0
	3		921		377		186		230		257		0
	4		921		375		185		233		123		0
	5		921		374		185		232		82		0
	6		921		374		185		233		75		0
	7		920		374		186		233		75		0
	8		920		374		186		267		86		83
	9		918		373		185		277		103		346
	10		916		369		185		295		139		727
	11		915		368		185		283		163		898
	12		913		370		185		291		251		961
	13		913		362		185		282		288		954
	14		912		367		185		280		244		943
	15		911		368		179		290		191		901
	16		911		369		174		289		151		788
	17		911		370		173		289		114		579
	18		911		372		173		292		99		184
	19		912		371		174		303		157		0
	20		913		371		174		300		284		0
	21		914		372		172		287		384		0
	22		915		371		174		269		485		0
	23		920		367		175		265		409		0
	24		921		367		180		225		351		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2393		1131		10712		6911		1066		
	2		2237		1131		10309		6652		1024		
	3		1970		1131		9923		6618		1067		
	4		1837		1130		9679		6621		971		
	5		1795		1130		9719		6917		973		
	6		1788		1130		9654		7345		780		
	7		1789		1131		9516		7624		977		
	8		1916		1132		10039		7449		1211		
	9		2201		1131		10828		6504		1426		
	10		2632		1131		12056		6052		1310		
	11		2812		1131		13343		5483		1379		
	12		2971		1131		13171		6114		1409		
	13		2984		1130		13488		5986		1673		
	14		2931		1131		13801		5971		2028		
	15		2839		1131		14581		5950		2052		
	16		2682		1131		15104		6135		2193		
	17		2435		1131		15716		6184		2338		
	18		2032		1131		15878		6446		2802		
	19		1916		1131		16705		6783		2886		
	20		2041		1131		17003		7074		2996		
	21		2128		1131		16520		6695		2826		
	22		2213		1132		14672		7638		1986		
	23		2135		1132		13217		7574		1280		
	24		2043		1132		11936		7221		1074		
