10/20/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		860		319		189		233		2069		0
	2		859		319		178		229		1998		0
	3		860		317		176		229		1947		0
	4		862		316		180		228		1853		0
	5		862		316		181		228		1885		0
	6		861		311		181		248		1919		0
	7		859		314		180		247		1694		0
	8		860		304		180		244		1667		64
	9		859		304		180		262		1780		313
	10		858		313		179		263		1693		688
	11		858		316		179		274		1526		846
	12		857		318		179		281		1370		897
	13		857		319		174		277		1372		897
	14		856		320		174		267		1576		889
	15		858		319		173		266		1963		841
	16		858		319		172		265		2097		717
	17		858		320		171		264		2255		495
	18		857		320		172		269		2166		125
	19		858		317		174		295		2114		0
	20		858		317		170		289		2204		0
	21		859		318		172		290		2241		0
	22		860		316		170		265		2246		0
	23		863		319		171		260		2205		0
	24		864		320		170		256		2060		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3670		2259		8978		7596		941		
	2		3584		2260		8615		7094		816		
	3		3529		2262		8122		7173		804		
	4		3438		2262		8071		7234		810		
	5		3473		2262		7907		7345		842		
	6		3520		2261		8256		7463		823		
	7		3295		2257		8832		7952		1032		
	8		3319		2257		9247		8073		1124		
	9		3699		2257		9640		7942		1276		
	10		3994		2257		10257		7630		1246		
	11		3999		2257		10644		7851		1249		
	12		3902		2256		11057		7607		1357		
	13		3896		2256		10815		7490		1624		
	14		4083		2257		10332		7539		1515		
	15		4419		2257		10089		7315		1680		
	16		4428		2253		10161		7038		1916		
	17		4364		2253		10246		7003		1959		
	18		3909		2253		10611		7208		2145		
	19		3757		2251		11652		7584		2264		
	20		3839		2251		11366		8198		2314		
	21		3880		2252		11048		8122		1941		
	22		3858		2252		10548		7647		1775		
	23		3818		2256		10094		7331		1123		
	24		3670		2257		9406		6833		1129		
