11/22/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		928		311		212		249		2008		0
	2		929		297		212		237		1896		0
	3		930		300		213		235		1818		0
	4		930		305		213		234		1513		0
	5		930		303		212		237		1308		0
	6		929		304		212		239		894		0
	7		928		306		212		242		317		16
	8		928		307		210		257		98		181
	9		927		310		210		258		30		487
	10		925		311		211		272		45		775
	11		925		309		211		277		82		858
	12		922		308		210		299		95		873
	13		919		307		210		281		79		843
	14		921		307		209		275		97		779
	15		922		306		210		278		143		617
	16		922		307		211		278		109		314
	17		923		306		210		287		88		25
	18		924		302		209		293		152		0
	19		924		299		209		298		222		0
	20		924		301		208		285		201		0
	21		924		302		203		273		202		0
	22		926		300		199		259		140		0
	23		928		300		199		237		107		0
	24		929		298		199		237		99		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3707		2256		9897		5136		935		
	2		3572		2255		9056		5355		899		
	3		3495		2255		8711		5133		907		
	4		3195		2254		8724		4999		918		
	5		2991		2253		8239		5314		1073		
	6		2578		2252		8372		5743		1213		
	7		2020		2251		9339		5701		1443		
	8		1982		2251		9528		5945		1388		
	9		2221		2250		9862		6182		1604		
	10		2539		2251		9501		6900		1800		
	11		2661		2250		9649		6682		2265		
	12		2706		2250		10187		6685		2018		
	13		2639		2252		10054		6745		2134		
	14		2589		2252		10191		6763		1782		
	15		2475		2252		10149		6631		1765		
	16		2141		2250		10313		6522		1818		
	17		1838		2250		9946		7061		2126		
	18		1881		2250		10271		7910		2400		
	19		1953		2248		10296		7722		2222		
	20		1919		2248		10365		7325		2163		
	21		1906		2247		10504		7202		1818		
	22		1823		2246		10409		7247		1532		
	23		1771		2247		9938		7123		1246		
	24		1762		2248		9467		6463		1232		
