11/21/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		925		248		208		243		1219		0
	2		927		247		211		220		1464		0
	3		927		262		210		220		1616		0
	4		926		273		211		220		1185		0
	5		926		280		208		243		976		0
	6		925		288		207		245		1259		0
	7		925		283		205		263		1176		17
	8		926		287		202		272		1332		183
	9		922		309		202		279		1217		492
	10		919		309		206		268		1482		746
	11		920		312		206		280		1785		824
	12		921		313		207		283		1898		834
	13		921		313		206		284		2055		781
	14		922		313		206		289		2074		690
	15		923		311		205		280		2105		515
	16		923		307		202		266		2089		255
	17		924		317		202		269		1820		13
	18		923		309		207		274		1865		0
	19		922		312		207		283		1903		0
	20		924		312		207		277		1812		0
	21		924		314		208		288		1908		0
	22		925		315		209		284		1987		0
	23		927		315		210		274		2140		0
	24		927		315		210		256		2032		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2844		2256		10516		4900		1117		
	2		3069		2253		9509		4883		1005		
	3		3236		2253		8915		4899		1037		
	4		2815		2259		9496		4635		1029		
	5		2633		2265		9800		4755		1196		
	6		2924		2255		9944		5450		1309		
	7		2870		2254		10411		6368		1900		
	8		3201		2254		10506		7318		1895		
	9		3422		2253		12114		6351		2182		
	10		3930		2252		13272		5497		1968		
	11		4327		2251		13297		5559		1880		
	12		4455		2251		12777		5794		1930		
	13		4560		2251		12948		5364		1944		
	14		4493		2251		13263		4668		2222		
	15		4339		2252		12983		5354		1991		
	16		4041		2250		13191		5065		2009		
	17		3545		2250		13482		5180		2602		
	18		3578		2250		15204		5493		2922		
	19		3627		2250		14985		5466		2961		
	20		3532		2250		14669		5458		2676		
	21		3641		2250		14437		5315		1966		
	22		3721		2252		12938		5653		1886		
	23		3866		2254		11388		5341		1936		
	24		3739		2257		10857		4678		1409		
