10/18/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		922		361		171		251		34		0
	2		923		363		170		246		25		0
	3		924		364		173		247		28		0
	4		924		362		179		247		33		0
	5		924		364		180		247		36		0
	6		924		364		186		245		41		0
	7		923		361		187		245		52		0
	8		923		359		188		257		49		71
	9		922		357		184		281		50		309
	10		919		355		187		292		77		677
	11		918		358		188		287		93		839
	12		916		357		189		291		96		872
	13		914		355		188		292		85		878
	14		914		354		188		295		52		889
	15		913		355		189		298		56		839
	16		913		357		189		299		159		705
	17		913		359		188		300		363		500
	18		914		359		189		302		362		140
	19		914		361		186		292		477		0
	20		916		362		189		287		613		0
	21		917		362		192		286		696		0
	22		919		363		191		288		834		0
	23		921		362		188		279		990		0
	24		920		361		187		260		902		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1738		2256		12161		6919		814		
	2		1728		2256		11213		6799		706		
	3		1736		2254		11047		6712		583		
	4		1745		2253		11077		6667		667		
	5		1750		2251		11263		6810		722		
	6		1760		2250		12150		6965		789		
	7		1768		2250		13041		8000		1379		
	8		1847		2252		14272		7811		1835		
	9		2102		2251		14739		7816		1712		
	10		2508		2252		15617		7719		1487		
	11		2684		2254		16192		7602		1732		
	12		2721		2256		16617		7632		1883		
	13		2712		2252		16774		7606		2223		
	14		2692		2250		16943		7918		2719		
	15		2650		2250		17709		7727		2662		
	16		2622		2249		18385		7370		2574		
	17		2625		2249		17708		7627		2829		
	18		2267		2250		17204		7925		2688		
	19		2230		2251		17386		7983		2882		
	20		2367		2254		17470		7982		3019		
	21		2454		2254		16538		7784		2770		
	22		2596		2255		15178		7917		2265		
	23		2740		2256		14014		7314		1511		
	24		2630		2254		12672		6869		1121		
