10/21/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		866		318		171		246		1905		0
	2		866		322		172		240		1862		0
	3		867		328		171		240		1821		0
	4		866		327		170		241		1736		0
	5		857		328		170		242		1708		0
	6		859		328		170		240		1710		0
	7		858		327		171		240		1718		0
	8		858		329		172		254		1586		65
	9		857		328		170		253		1465		294
	10		855		328		170		251		1531		640
	11		856		328		174		264		1552		806
	12		856		325		173		272		1706		838
	13		856		326		171		261		1932		781
	14		854		327		174		257		1941		808
	15		854		324		182		256		1807		798
	16		854		327		190		259		1714		610
	17		853		329		194		260		1686		404
	18		865		326		193		259		1613		110
	19		890		326		192		254		1422		0
	20		897		326		193		262		1236		0
	21		900		324		190		253		1174		0
	22		906		326		190		253		1253		0
	23		908		324		189		242		1310		0
	24		909		321		189		241		1371		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3507		2256		8507		6832		865		
	2		3462		2256		7964		6752		810		
	3		3427		2255		7794		6345		816		
	4		3340		2255		7805		6319		825		
	5		3305		2254		7725		6336		850		
	6		3307		2254		7682		6637		849		
	7		3314		2255		8144		6683		992		
	8		3263		2255		8455		6772		1094		
	9		3367		2255		9269		6797		1187		
	10		3775		2253		9545		6811		1323		
	11		3979		2253		9858		6868		1432		
	12		4171		2253		10192		6242		1539		
	13		4326		2251		9790		6459		1596		
	14		4360		2252		9809		5781		1865		
	15		4221		2253		9776		5876		1950		
	16		3954		2253		10017		6016		1976		
	17		3727		2255		10341		6083		2047		
	18		3367		2255		11454		6015		1981		
	19		3084		2255		11940		7648		2181		
	20		2914		2255		12640		7747		2343		
	21		2842		2256		12322		7690		2102		
	22		2928		2255		11727		7053		1758		
	23		2973		2256		10355		7206		1370		
	24		3032		2257		9160		6625		1318		
