10/16/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		903		365		192		246		387		0
	2		903		366		193		243		265		0
	3		903		365		194		236		503		0
	4		903		367		194		237		650		0
	5		902		367		193		241		702		0
	6		903		367		193		243		454		0
	7		903		358		194		244		362		0
	8		903		354		193		283		508		78
	9		903		354		183		290		403		340
	10		902		354		178		294		211		721
	11		900		353		181		306		148		865
	12		900		357		180		308		137		915
	13		900		361		180		316		91		912
	14		902		356		185		315		108		900
	15		901		361		189		321		307		856
	16		901		364		193		318		544		749
	17		902		367		194		317		899		548
	18		903		365		197		317		1113		160
	19		904		364		197		306		1356		0
	20		906		366		193		297		1610		0
	21		907		364		196		301		1574		0
	22		903		358		199		292		1523		0
	23		905		357		199		274		1331		0
	24		907		356		196		270		1282		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2093		1312		11577		7639		874		
	2		1969		1283		10561		7602		865		
	3		2201		1282		10341		7303		812		
	4		2350		1334		9935		7527		781		
	5		2406		1416		10239		7439		825		
	6		2160		1418		11242		7894		961		
	7		2061		1426		12493		8334		1108		
	8		2319		1427		13785		7889		1275		
	9		2474		1422		14103		8124		1359		
	10		2660		1418		14637		8441		1398		
	11		2754		1418		15318		8740		1576		
	12		2796		1417		16360		8623		1737		
	13		2760		1436		16892		8762		1928		
	14		2766		1488		17391		8605		2607		
	15		2935		1550		18207		8376		2710		
	16		3069		1657		18410		8292		2797		
	17		3226		1812		18129		8460		2611		
	18		3054		1991		17462		8376		2655		
	19		3126		2130		17537		8110		2466		
	20		3371		2181		17223		8242		2535		
	21		3342		2208		15978		8307		2572		
	22		3275		2217		14781		8054		2111		
	23		3066		2228		13271		7678		1434		
	24		3011		2240		11804		7135		1167		
