11/24/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		925		308		209		226		14		0
	2		926		308		209		223		15		0
	3		926		307		209		196		9		0
	4		926		307		209		204		10		0
	5		927		307		210		224		3		0
	6		926		311		211		226		9		0
	7		925		326		210		225		17		11
	8		924		326		209		239		19		168
	9		923		327		208		266		14		494
	10		921		329		207		271		3		786
	11		920		328		208		274		12		861
	12		920		328		207		259		22		863
	13		918		330		207		255		24		832
	14		917		327		207		253		22		763
	15		919		327		207		255		15		595
	16		919		325		207		252		9		305
	17		920		326		208		266		3		11
	18		921		325		208		271		0		0
	19		922		327		207		282		0		0
	20		921		344		207		273		16		0
	21		922		349		208		281		32		0
	22		922		351		208		266		47		0
	23		924		349		207		230		113		0
	24		925		351		207		226		122		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1682		2247		9336		6027		1226		
	2		1681		2248		8901		6039		1129		
	3		1647		2248		8533		6175		1078		
	4		1656		2249		8381		6352		1088		
	5		1671		2251		8562		6241		1103		
	6		1683		2252		8528		6600		1145		
	7		1715		2252		8570		7208		1235		
	8		1886		2251		9120		6967		1313		
	9		2233		2251		9642		7054		1386		
	10		2517		2251		10148		6822		1639		
	11		2602		2251		10319		6387		1797		
	12		2598		2249		10527		6360		1760		
	13		2566		2247		10738		6210		1835		
	14		2489		2248		10994		6102		1773		
	15		2317		2248		10931		6155		2013		
	16		2018		2248		11376		6164		2018		
	17		1734		2248		11486		6968		2175		
	18		1724		2248		12842		7456		2884		
	19		1737		2250		12914		7449		2872		
	20		1762		2251		12670		7544		2422		
	21		1790		2252		12487		7347		2074		
	22		1794		2252		11973		7297		1678		
	23		1823		2252		11612		6485		1318		
	24		1831		2252		10581		5836		1307		
