10/15/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		921		368		183		218		335		0
	2		922		368		186		215		406		0
	3		922		374		186		214		299		0
	4		923		374		186		214		266		0
	5		923		372		186		215		230		0
	6		922		370		185		214		340		0
	7		921		368		186		221		322		0
	8		922		368		183		276		199		81
	9		920		366		180		292		64		352
	10		918		367		180		273		24		697
	11		916		366		180		280		11		751
	12		914		367		179		282		12		885
	13		913		366		180		305		31		918
	14		912		364		183		311		37		918
	15		910		366		186		331		41		871
	16		910		366		186		339		176		765
	17		908		367		186		335		348		526
	18		908		364		186		340		393		88
	19		908		363		186		334		494		0
	20		908		365		189		335		686		0
	21		908		364		185		333		823		0
	22		909		361		183		294		800		0
	23		912		363		183		269		582		0
	24		912		366		183		242		498		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2024		1131		11761		6763		907		
	2		2096		1131		11236		6491		874		
	3		1995		1131		10930		6519		857		
	4		1963		1130		11085		6325		820		
	5		1926		1130		11039		6734		892		
	6		2031		1130		11663		6992		901		
	7		2018		1129		12593		7818		1304		
	8		2028		1129		13573		7967		1411		
	9		2175		1091		14001		8320		1672		
	10		2459		1086		14367		8571		1897		
	11		2505		1087		15549		7879		2511		
	12		2638		1085		16614		8008		2161		
	13		2714		1085		17613		7458		2286		
	14		2725		1086		18083		7665		2623		
	15		2705		1107		18479		7872		2684		
	16		2743		1127		18913		7780		2658		
	17		2670		1128		18710		8015		2762		
	18		2279		1130		18388		7917		3067		
	19		2285		1128		18367		8070		3238		
	20		2482		1130		18277		8531		3105		
	21		2613		1130		17041		8568		2791		
	22		2548		1131		15591		8498		2331		
	23		2309		1164		14324		8020		1413		
	24		2200		1260		12876		7435		1085		
