11/01/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		920		298		179		186		430		0
	2		919		286		179		183		386		0
	3		920		265		180		179		387		0
	4		920		264		178		172		341		0
	5		921		265		169		190		333		0
	6		920		258		176		201		371		0
	7		918		252		179		209		373		0
	8		917		253		179		225		333		42
	9		915		253		179		231		301		245
	10		908		259		178		232		295		408
	11		904		265		178		231		241		671
	12		905		269		178		234		182		795
	13		915		279		179		226		243		759
	14		914		281		179		218		349		755
	15		915		285		181		235		418		656
	16		915		287		182		239		552		527
	17		915		293		181		258		705		273
	18		914		287		181		273		773		19
	19		914		286		188		276		714		0
	20		915		286		182		272		669		0
	21		915		284		181		270		757		0
	22		916		283		181		237		714		0
	23		919		283		172		221		724		0
	24		919		283		169		218		730		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2012		2258		10249		6533		1010		
	2		1954		2259		9325		6743		984		
	3		1930		2259		9140		6601		1019		
	4		1875		2259		8951		6697		1032		
	5		1878		2258		9347		6632		1108		
	6		1927		2260		10386		6793		1073		
	7		1930		2260		11147		8227		1221		
	8		1949		2260		12555		8375		1559		
	9		2124		2260		12856		8507		1543		
	10		2280		2257		13123		8587		1617		
	11		2489		2255		13285		8637		1607		
	12		2563		2257		13491		8641		1443		
	13		2601		2256		13352		8485		1393		
	14		2698		2256		12929		8914		1461		
	15		2690		2256		12921		8885		1441		
	16		2703		2254		12784		8701		1577		
	17		2624		2253		12324		8850		1765		
	18		2447		2255		12641		8793		1829		
	19		2377		2256		13690		9263		2315		
	20		2323		2257		14143		9072		2269		
	21		2408		2257		13753		8811		1866		
	22		2332		2257		12854		8695		1425		
	23		2319		2256		12202		7368		1201		
	24		2319		2256		10946		6968		814		
