10/17/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		907		357		174		265		1289		0
	2		909		365		173		251		1012		0
	3		915		366		172		247		988		0
	4		915		367		170		250		669		0
	5		915		363		169		249		412		0
	6		915		362		176		245		441		0
	7		915		361		179		244		394		0
	8		916		361		172		268		447		76
	9		915		361		169		283		386		335
	10		914		355		165		290		368		721
	11		914		351		170		307		597		874
	12		913		355		177		309		553		918
	13		913		358		177		307		530		888
	14		904		355		176		305		436		895
	15		912		357		176		304		458		844
	16		912		361		177		313		339		717
	17		911		363		178		304		157		492
	18		913		363		182		334		79		136
	19		912		364		185		327		55		0
	20		913		363		185		317		58		0
	21		914		363		185		298		64		0
	22		913		361		185		295		73		0
	23		912		362		181		276		54		0
	24		913		359		173		260		39		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2992		2248		10892		6861		850		
	2		2710		2251		10373		6622		820		
	3		2688		2255		10044		6228		713		
	4		2371		2256		9874		6289		737		
	5		2108		2252		10443		6417		810		
	6		2140		2250		11123		7080		782		
	7		2094		2250		11687		8205		1267		
	8		2240		2251		12522		8160		1408		
	9		2450		2253		13588		7778		1521		
	10		2813		2253		14177		7886		1577		
	11		3213		2253		14652		8261		1521		
	12		3227		2255		15338		8492		1751		
	13		3173		2253		16015		8430		2237		
	14		3072		2253		17352		8267		2511		
	15		3050		2251		18050		8507		2803		
	16		2819		2251		18861		8709		2789		
	17		2406		2251		19428		8524		2984		
	18		2007		2253		19277		8467		2866		
	19		1842		2254		18901		8772		2998		
	20		1837		2254		18851		8828		2987		
	21		1824		2254		17498		8955		2679		
	22		1827		2255		15967		8668		2405		
	23		1785		2259		14727		7875		1630		
	24		1744		2259		13446		7078		1116		
