10/28/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		908		334		190		200		167		0
	2		908		332		190		197		137		0
	3		909		333		192		194		92		0
	4		909		331		193		195		76		0
	5		909		332		194		196		50		0
	6		909		333		193		207		49		0
	7		908		333		192		225		77		0
	8		908		335		191		230		87		53
	9		906		334		192		253		62		290
	10		905		336		191		256		69		665
	11		905		334		191		266		57		842
	12		904		335		189		261		67		891
	13		904		336		187		260		68		887
	14		903		336		188		262		63		865
	15		902		334		189		257		61		806
	16		902		332		189		256		54		691
	17		902		328		189		257		52		460
	18		903		316		189		278		45		96
	19		903		329		188		287		43		0
	20		903		320		185		289		75		0
	21		903		320		185		288		140		0
	22		905		318		185		274		225		0
	23		908		302		184		261		366		0
	24		908		302		185		242		372		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1799		2259		10463		6494		962		
	2		1764		2256		10324		6314		766		
	3		1719		2258		9912		6163		743		
	4		1704		2261		9586		6316		751		
	5		1681		2261		9392		6329		860		
	6		1691		2258		9283		6419		1115		
	7		1735		2257		9523		6566		1153		
	8		1804		2256		10010		6099		1148		
	9		2036		2256		10279		6359		1139		
	10		2422		2257		10604		6608		1223		
	11		2594		2257		11333		6634		1303		
	12		2647		2258		11296		6643		1514		
	13		2642		2254		11838		6592		1493		
	14		2617		2252		11853		6713		1789		
	15		2549		2253		12094		6950		1812		
	16		2425		2253		12652		7016		1791		
	17		2188		2251		13162		7239		1728		
	18		1827		2253		13546		7441		2038		
	19		1751		2258		14516		7899		2301		
	20		1772		2257		14552		7968		2420		
	21		1836		2257		13953		7485		2452		
	22		1907		2259		13106		7326		1906		
	23		2022		2257		12034		6798		1332		
	24		2010		2256		11186		6126		943		
