11/30/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		916		351		195		270		1561		0
	2		915		355		200		233		1662		0
	3		915		360		197		228		1770		0
	4		917		350		198		224		1794		0
	5		918		340		201		231		1526		0
	6		918		340		203		279		1034		0
	7		918		338		202		283		896		6
	8		917		337		198		287		807		124
	9		914		328		194		290		838		282
	10		913		320		195		291		962		432
	11		912		322		188		331		1272		546
	12		880		323		184		321		1478		547
	13		892		327		189		305		1610		478
	14		874		330		193		308		1784		414
	15		870		334		191		262		1696		214
	16		901		338		194		267		1455		83
	17		910		341		193		273		1244		1
	18		917		337		195		322		919		0
	19		912		335		194		345		799		0
	20		912		336		194		333		866		0
	21		912		335		196		333		1120		0
	22		911		337		205		289		1121		0
	23		914		332		209		285		1252		0
	24		914		331		209		282		1333		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		3293		2243		8748		5822		1848		
	2		3365		2243		8123		5603		1865		
	3		3472		2242		7752		5937		1742		
	4		3483		2242		7812		5707		1809		
	5		3216		2242		8389		5791		1852		
	6		2774		2243		9543		5795		1832		
	7		2643		2244		11249		6537		1981		
	8		2670		2244		12977		6743		1969		
	9		2846		2244		13175		7358		1872		
	10		3113		2244		13450		7536		1902		
	11		3571		2245		13901		7295		1885		
	12		3734		2244		13444		7743		1916		
	13		3801		2242		12950		7943		1877		
	14		3903		2241		12785		7606		1878		
	15		3566		2240		13951		6210		1926		
	16		3238		2237		13618		6741		1951		
	17		2962		2236		14851		6611		2034		
	18		2690		2237		16175		7281		2262		
	19		2586		2238		16316		6807		2412		
	20		2642		2239		15716		6664		2286		
	21		2896		2240		13684		7498		2302		
	22		2862		2241		12663		7195		2296		
	23		2991		2242		11170		6655		2329		
	24		3069		2244		9505		6081		2286		
