11/25/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		925		351		208		228		166		0
	2		926		350		209		227		141		0
	3		925		351		207		224		105		0
	4		925		352		203		225		84		0
	5		925		349		205		225		80		0
	6		925		349		208		225		75		0
	7		924		348		208		225		92		11
	8		924		349		209		228		82		164
	9		922		350		209		243		71		480
	10		921		353		208		233		91		777
	11		921		348		209		238		70		854
	12		919		351		209		240		81		854
	13		918		353		209		243		93		819
	14		921		352		209		237		116		742
	15		921		350		210		229		260		581
	16		921		351		209		221		392		287
	17		921		350		208		240		317		12
	18		921		349		209		251		403		0
	19		922		343		209		248		653		0
	20		922		351		209		252		648		0
	21		922		351		208		255		422		0
	22		922		351		208		247		281		0
	23		924		351		209		222		131		0
	24		925		353		208		211		61		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1878		2252		9443		5506		1316		
	2		1852		2252		8778		5701		1092		
	3		1813		2251		8635		5568		1047		
	4		1788		2251		8359		5715		1066		
	5		1785		2251		8216		5825		1129		
	6		1781		2252		8224		6079		1297		
	7		1808		2253		8145		6366		1418		
	8		1955		2253		8555		6184		1504		
	9		2273		2253		9162		6019		1464		
	10		2584		2252		9124		6447		1625		
	11		2640		2251		9381		6318		2019		
	12		2653		2249		9843		6129		1915		
	13		2635		2249		9917		6185		1850		
	14		2577		2248		10186		5941		1872		
	15		2551		2249		10163		5907		1982		
	16		2381		2248		10411		6120		2019		
	17		2047		2251		10856		6855		2451		
	18		2132		2250		12533		7655		3078		
	19		2376		2250		12474		7819		3135		
	20		2382		2252		12558		7762		2666		
	21		2158		2251		12328		7580		2483		
	22		2010		2251		11297		7563		2105		
	23		1836		2251		10662		6799		1596		
	24		1758		2251		9953		6083		1360		
