11/20/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		925		295		208		215		78		0
	2		926		285		209		209		104		0
	3		926		293		209		172		124		0
	4		925		293		210		169		96		0
	5		924		297		209		209		103		0
	6		924		292		209		210		115		0
	7		922		286		209		242		135		18
	8		920		285		197		259		150		187
	9		918		285		196		264		143		516
	10		915		287		193		268		116		784
	11		913		288		192		270		147		855
	12		914		290		195		267		143		859
	13		914		291		197		261		232		831
	14		914		294		199		257		308		760
	15		914		297		199		261		302		604
	16		914		260		198		261		392		312
	17		913		224		200		272		473		23
	18		913		218		212		308		640		0
	19		913		217		210		330		1151		0
	20		915		216		209		317		1182		0
	21		915		216		212		278		1231		0
	22		917		219		211		281		973		0
	23		921		225		207		271		840		0
	24		924		242		210		254		1121		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1721		2252		10595		6210		875		
	2		1732		2254		9817		6007		810		
	3		1723		2254		9209		6085		958		
	4		1691		2253		9201		5952		1033		
	5		1743		2254		9148		6180		1213		
	6		1750		2253		9915		6672		1251		
	7		1813		2253		10942		6887		1917		
	8		1998		2253		12328		6652		2073		
	9		2322		2252		12841		6951		1915		
	10		2563		2251		13904		6325		1916		
	11		2663		2250		14008		6355		2082		
	12		2668		2250		14840		5771		2081		
	13		2727		2250		14661		5995		2008		
	14		2732		2250		14670		6187		1891		
	15		2576		2250		14516		6470		1847		
	16		2336		2250		14130		6644		2145		
	17		2106		2252		14806		6460		2506		
	18		2291		2251		16365		6719		2830		
	19		2822		2251		16852		5641		2749		
	20		2839		2252		16216		5751		2408		
	21		2852		2252		15734		5535		2175		
	22		2602		2251		14123		6019		2142		
	23		2463		2254		12212		6014		2130		
	24		2751		2257		11668		4808		1569		
