11/18/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		929		266		204		199		559		0
	2		929		267		204		196		695		0
	3		929		268		204		194		778		0
	4		930		270		206		195		744		0
	5		930		270		207		195		834		0
	6		930		269		207		196		910		0
	7		928		271		207		236		804		19
	8		928		269		206		241		753		171
	9		928		269		205		245		727		421
	10		926		268		206		252		843		616
	11		927		268		205		250		823		767
	12		926		270		206		247		972		774
	13		925		271		207		243		1140		725
	14		924		272		207		233		1045		696
	15		924		271		207		234		965		533
	16		924		269		206		233		1058		276
	17		924		268		206		230		825		18
	18		924		268		211		241		674		0
	19		924		269		207		271		728		0
	20		924		268		206		265		727		0
	21		924		266		206		244		703		0
	22		924		266		205		231		754		0
	23		927		266		204		231		602		0
	24		926		268		205		223		539		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2158		2257		8906		6179		1101		
	2		2290		2259		8592		6277		1015		
	3		2373		2259		8291		6137		1072		
	4		2345		2257		8167		6110		1017		
	5		2435		2259		7999		6221		1040		
	6		2513		2258		7853		6343		1213		
	7		2465		2258		8139		6470		1401		
	8		2569		2259		8781		6148		1495		
	9		2794		2259		9496		5986		1516		
	10		3111		2257		9571		6148		1703		
	11		3239		2258		9774		6174		1812		
	12		3395		2257		9545		5798		1805		
	13		3511		2255		9717		5627		1797		
	14		3376		2255		10175		5295		1793		
	15		3134		2253		10281		5506		1788		
	16		2966		2251		10352		5828		1771		
	17		2471		2251		10493		7061		2058		
	18		2318		2251		12699		7269		2638		
	19		2399		2250		12848		7236		2634		
	20		2389		2250		12460		7473		2390		
	21		2343		2251		12153		7425		2081		
	22		2380		2253		11213		7046		2008		
	23		2231		2253		10463		6251		1937		
	24		2162		2252		9722		5999		1503		
