11/13/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		926		321		164		209		60		0
	2		926		322		164		188		70		0
	3		926		304		166		189		76		0
	4		926		297		166		188		82		0
	5		926		288		166		189		98		0
	6		925		283		182		218		91		0
	7		922		278		186		247		83		28
	8		921		280		183		274		95		223
	9		920		289		180		277		81		589
	10		919		292		183		274		82		822
	11		918		295		179		274		83		887
	12		917		295		179		290		100		888
	13		917		292		182		262		78		867
	14		917		293		181		254		75		799
	15		918		297		178		247		53		656
	16		918		298		179		251		33		361
	17		918		300		179		296		53		40
	18		917		298		182		314		86		0
	19		918		298		185		318		138		0
	20		918		298		187		317		96		0
	21		918		293		186		283		54		0
	22		919		278		186		249		77		0
	23		922		286		184		212		176		0
	24		921		277		186		209		148		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1681		1634		11772		5796		1314		
	2		1671		1634		11587		5384		886		
	3		1662		1633		11038		5292		893		
	4		1659		1634		11134		5066		922		
	5		1668		1636		11297		5284		1217		
	6		1699		1637		12201		5744		1299		
	7		1745		1637		12795		6732		2044		
	8		1976		1636		13402		7293		2156		
	9		2336		1635		14210		6543		2014		
	10		2571		1634		13662		6926		1857		
	11		2636		1634		13508		7255		1994		
	12		2670		1633		13828		7006		2099		
	13		2598		1630		14211		6699		2088		
	14		2521		1628		14389		6738		2244		
	15		2350		1613		14055		7238		2358		
	16		2041		1607		14188		7148		2526		
	17		1786		1608		14689		7285		2661		
	18		1797		1608		15945		7834		3212		
	19		1857		1608		16000		7745		3180		
	20		1814		1611		15484		7755		2977		
	21		1734		1612		15122		7672		2591		
	22		1709		1613		14151		7272		2211		
	23		1781		1611		12920		6589		1684		
	24		1742		1612		12143		5725		1305		
