12/09/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		919		344		188		318		554		0
	2		919		346		188		317		483		0
	3		920		355		186		287		419		0
	4		920		357		181		273		528		0
	5		921		357		180		310		465		0
	6		920		355		180		326		236		0
	7		919		356		180		328		171		3
	8		914		328		180		329		122		132
	9		907		315		179		341		89		329
	10		906		314		176		335		89		632
	11		905		312		176		334		87		801
	12		904		313		177		350		93		806
	13		904		310		177		356		94		806
	14		908		313		178		347		125		710
	15		911		314		177		339		183		517
	16		913		312		179		341		208		250
	17		913		313		179		335		234		29
	18		913		310		179		355		450		10
	19		914		308		180		395		347		11
	20		913		323		182		355		372		6
	21		913		339		182		354		395		2
	22		913		339		182		352		470		0
	23		916		339		181		335		588		0
	24		916		342		183		335		312		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2323		2256		8442		6734		1585		
	2		2253		2259		7541		6782		1535		
	3		2166		2260		7113		6981		1565		
	4		2260		2258		6904		6855		1617		
	5		2233		2260		6896		6902		1588		
	6		2017		2259		7040		7120		1618		
	7		1958		2256		7059		7399		1916		
	8		2006		2256		7560		7229		2157		
	9		2160		2255		8004		7759		2096		
	10		2452		2253		8152		7844		2202		
	11		2615		2255		8146		7946		2163		
	12		2644		2253		8052		7917		2257		
	13		2647		2251		8353		7601		2212		
	14		2582		2251		8317		7853		1993		
	15		2442		2252		8224		8123		1986		
	16		2203		2254		8657		8238		2037		
	17		2003		2257		10039		8352		2361		
	18		2216		2258		12347		8834		2968		
	19		2154		2257		13120		8714		2949		
	20		2151		2259		12857		8942		2678		
	21		2185		2259		12624		8601		2462		
	22		2256		2258		11258		8706		2230		
	23		2359		2258		9872		8047		1864		
	24		2088		2258		8600		7619		1686		
