11/14/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		922		278		186		224		170		0
	2		922		281		186		204		182		0
	3		923		299		186		204		175		0
	4		920		301		186		187		131		0
	5		912		301		186		187		82		0
	6		911		302		186		231		53		0
	7		910		294		185		260		51		25
	8		910		294		184		287		41		209
	9		908		292		183		292		38		456
	10		907		294		183		276		129		634
	11		906		297		184		274		161		704
	12		903		286		187		275		90		710
	13		905		283		189		279		60		692
	14		906		285		189		260		36		594
	15		905		288		190		247		12		421
	16		906		289		192		255		0		157
	17		907		290		191		272		0		7
	18		907		295		191		321		0		0
	19		909		299		191		309		0		0
	20		913		299		193		309		9		0
	21		917		296		190		292		10		0
	22		922		301		190		275		11		0
	23		924		296		190		235		5		0
	24		924		298		191		232		5		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1780		1611		11518		5742		946		
	2		1775		1614		11237		5602		981		
	3		1786		1611		10887		5509		931		
	4		1726		1610		10820		5651		963		
	5		1668		1609		10967		5555		1169		
	6		1684		1611		11673		5720		1513		
	7		1725		1657		12429		6863		2055		
	8		1925		1659		13314		7005		2211		
	9		2169		1660		13332		7219		2242		
	10		2423		1659		13528		7281		2079		
	11		2527		1650		13822		7278		2029		
	12		2450		1627		14107		7137		2102		
	13		2408		1627		13903		7293		2094		
	14		2270		1626		14081		7332		2210		
	15		2063		1625		14061		7343		2384		
	16		1800		1625		14608		6996		2360		
	17		1666		1625		14691		7355		2617		
	18		1714		1627		16384		7157		3363		
	19		1708		1627		16323		7187		3343		
	20		1722		1627		15783		7279		3143		
	21		1706		1627		15075		7540		2682		
	22		1699		1630		14111		7491		2063		
	23		1650		1633		13128		6851		1663		
	24		1650		1630		12489		5818		1265		
