09/09/14			Hourly Breakdown of Renewable Resources (MW)												
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL				
	1		882		357		218		148		2592		0		0
	2		880		355		218		111		2448		0		0
	3		882		357		218		111		2296		0		0
	4		870		359		216		111		2376		0		0
	5		848		356		216		121		2140		0		0
	6		849		337		215		164		2030		0		0
	7		847		334		215		174		1805		13		0
	8		833		335		212		199		1522		627		0
	9		835		350		213		200		1415		1899		111
	10		834		356		215		200		1394		2776		265
	11		833		360		215		211		1196		3347		268
	12		832		357		215		210		1093		3612		337
	13		831		364		215		229		1358		3650		444
	14		830		368		214		248		1475		3638		460
	15		829		370		215		251		1784		3203		524
	16		829		373		215		252		2018		2817		582
	17		827		374		216		289		2169		2375		565
	18		827		374		217		310		2353		1564		499
	19		830		373		217		317		2512		373		155
	20		851		371		213		282		2854		0		17
	21		875		370		200		269		3039		0		22
	22		881		363		201		265		2863		0		15
	23		881		354		213		193		2254		0		0
	24		881		352		219		175		1700		0		0
															
															
			Hourly Breakdown of Total Production by Resource Type (MW)												
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO					
	1		4197		2268		11047		6677		476				
	2		4012		2268		10104		6733		478				
	3		3864		2268		9848		6469		458				
	4		3932		2269		9843		6011		448				
	5		3681		2270		10600		6020		580				
	6		3595		2272		11068		6600		711				
	7		3388		2271		12224		7449		906				
	8		3728		2270		13027		7625		891				
	9		5024		2271		13403		7602		860				
	10		6040		2264		14035		7340		812				
	11		6429		2261		14523		7467		1052				
	12		6656		2261		14562		8004		1480				
	13		7090		2261		15020		7972		1685				
	14		7232		2261		15755		8398		1808				
	15		7176		2262		17000		8586		1603				
	16		7085		2262		16970		9246		2079				
	17		6815		2263		17350		9343		2341				
	18		6145		2265		17192		9573		2418				
	19		4777		2264		17133		9509		2533				
	20		4588		2269		16907		9956		2311				
	21		4775		2263		16604		9630		2067				
	22		4588		2260		15408		8769		1773				
	23		3896		2263		14668		7559		1110				
	24		3326		2268		13330		6749		798				
