11/29/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		924		338		201		214		785		0
	2		924		344		201		212		704		0
	3		923		349		202		213		727		0
	4		923		347		202		209		909		0
	5		923		348		202		210		916		0
	6		923		347		200		265		967		0
	7		921		341		202		264		968		6
	8		921		342		204		270		922		130
	9		918		340		201		268		928		321
	10		917		346		203		275		953		473
	11		918		363		198		274		1049		554
	12		918		361		199		275		1293		579
	13		917		359		200		274		1353		602
	14		913		361		200		274		1489		476
	15		901		363		200		278		1632		289
	16		860		366		199		277		1553		119
	17		853		367		200		261		1307		0
	18		852		362		190		264		1260		0
	19		852		356		190		286		1241		0
	20		857		337		195		300		1229		0
	21		903		356		195		306		1394		0
	22		912		364		195		290		1294		0
	23		916		358		194		286		1197		0
	24		916		357		190		288		1329		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2462		2242		8489		7055		1953		
	2		2385		2243		7920		6882		1950		
	3		2413		2243		7668		6625		1909		
	4		2591		2241		7453		6583		1898		
	5		2600		2242		7986		6626		1847		
	6		2702		2242		8731		6864		1834		
	7		2703		2242		10295		7172		2312		
	8		2788		2243		11936		6823		2451		
	9		2976		2242		12916		6565		1978		
	10		3168		2243		13171		6739		1976		
	11		3355		2242		12954		7145		1995		
	12		3623		2242		12838		7226		1841		
	13		3704		2242		12911		6953		1950		
	14		3712		2241		13481		6512		1867		
	15		3663		2240		13210		6589		1964		
	16		3374		2240		13205		6755		2201		
	17		2987		2239		14676		6561		2453		
	18		2928		2239		16505		6758		2622		
	19		2925		2240		16105		7221		2572		
	20		2917		2240		15448		7423		2542		
	21		3155		2240		14137		7683		2404		
	22		3055		2242		13259		7265		2061		
	23		2951		2243		11561		7007		1868		
	24		3079		2242		10166		5904		1879		
