11/28/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		921		359		193		226		233		0
	2		922		357		193		230		238		0
	3		921		359		193		231		240		0
	4		922		352		193		230		238		0
	5		921		341		194		231		178		0
	6		921		334		199		229		217		0
	7		919		328		201		247		343		9
	8		917		328		199		264		331		121
	9		910		339		188		266		475		343
	10		908		352		187		268		827		559
	11		910		355		188		251		625		590
	12		910		350		190		256		871		567
	13		909		350		192		256		1034		653
	14		914		352		193		251		957		594
	15		918		349		192		251		823		365
	16		919		359		192		256		703		131
	17		919		363		191		260		1051		0
	18		919		357		196		298		1079		0
	19		919		354		199		301		1189		0
	20		918		350		206		303		1120		0
	21		918		343		208		303		1087		0
	22		920		336		203		263		1056		0
	23		923		333		201		258		927		0
	24		923		335		201		254		815		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1931		2249		9934		5993		1909		
	2		1940		2249		9153		5800		1974		
	3		1943		2249		9119		5839		1966		
	4		1935		2249		9006		5922		1804		
	5		1865		2250		9151		6077		1864		
	6		1900		2250		10110		6177		2017		
	7		2047		2250		11030		7444		2163		
	8		2160		2252		12268		7797		2153		
	9		2520		2253		13230		7383		2002		
	10		3100		2251		13413		7144		2001		
	11		2918		2252		14140		6888		2044		
	12		3142		2250		14003		6853		2023		
	13		3394		2247		13181		7259		2025		
	14		3262		2246		13106		7468		1991		
	15		2899		2245		13274		7369		1996		
	16		2560		2244		13374		7515		2040		
	17		2785		2244		13642		7521		2410		
	18		2850		2245		15533		7491		2883		
	19		2963		2244		15434		7618		2839		
	20		2896		2243		14977		7695		2655		
	21		2859		2243		14331		7569		2542		
	22		2778		2243		12874		7585		2371		
	23		2642		2244		11654		6845		2067		
	24		2528		2244		10201		6394		1931		
