11/15/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		924		298		199		234		7		0
	2		924		297		199		208		16		0
	3		925		304		199		204		12		0
	4		925		306		200		201		11		0
	5		925		305		200		201		18		0
	6		925		302		200		227		27		0
	7		923		296		199		245		26		14
	8		920		295		197		284		26		102
	9		921		284		192		293		25		227
	10		920		286		188		298		33		273
	11		918		297		186		292		44		306
	12		919		298		186		264		30		320
	13		919		298		187		244		47		228
	14		919		297		192		242		75		175
	15		917		296		194		253		90		111
	16		918		298		191		237		38		40
	17		919		299		191		259		14		0
	18		920		298		194		299		10		0
	19		921		298		196		304		51		0
	20		921		299		195		320		9		0
	21		921		298		195		295		14		0
	22		921		302		196		259		58		0
	23		924		289		195		229		146		0
	24		924		282		195		227		194		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		1663		1629		11582		5613		847		
	2		1645		1629		11383		5686		857		
	3		1643		1629		11000		5662		910		
	4		1642		1628		10601		5580		962		
	5		1650		1628		10847		5575		1072		
	6		1681		1628		11376		6324		1094		
	7		1704		1629		12298		7420		1707		
	8		1825		1630		13688		7384		1821		
	9		1942		1630		14272		7485		1741		
	10		1998		1629		14579		7627		1646		
	11		2043		1631		14709		7729		1652		
	12		2017		1629		14660		7751		1713		
	13		1923		1630		14611		7509		1942		
	14		1899		1629		14254		7860		1971		
	15		1862		1626		13984		8056		1970		
	16		1721		1624		13987		8064		1984		
	17		1683		1625		14075		8598		2258		
	18		1721		1625		15843		8140		3148		
	19		1770		1627		15704		8034		3194		
	20		1745		1628		15396		8258		2669		
	21		1723		1627		15139		7915		2429		
	22		1735		1626		14040		7762		2060		
	23		1783		1627		12667		7200		1690		
	24		1822		1627		11903		6111		1464		
