11/17/12			Hourly Breakdown of Renewable Resources										
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR			
	1		920		264		200		204		507		0
	2		920		261		200		169		620		0
	3		920		264		200		182		555		0
	4		920		266		201		191		605		0
	5		919		265		201		190		915		0
	6		917		267		200		193		1022		0
	7		916		264		200		215		1044		3
	8		917		261		200		233		985		93
	9		916		266		200		241		1065		252
	10		914		267		203		247		1125		447
	11		914		268		204		257		1091		551
	12		914		266		203		258		772		566
	13		914		266		203		259		745		620
	14		915		266		203		261		830		492
	15		915		266		203		259		1090		312
	16		914		259		205		256		1062		125
	17		915		264		205		237		917		2
	18		918		265		209		259		964		0
	19		919		266		212		303		973		0
	20		920		267		214		322		845		0
	21		921		261		214		281		812		0
	22		923		266		211		264		760		0
	23		926		269		208		250		634		0
	24		928		266		206		242		623		0
													
													
			Hourly Breakdown of Total Production by Resource Type										
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO			
	1		2095		2254		9754		5802		1434		
	2		2170		2255		9602		5353		1049		
	3		2121		2253		9180		5490		918		
	4		2183		2256		9180		5637		930		
	5		2489		2254		8818		5917		927		
	6		2600		2255		8463		6232		1265		
	7		2643		2256		8445		6315		1763		
	8		2690		2257		9160		6406		1690		
	9		2940		2256		9603		6902		1900		
	10		3203		2255		9820		7090		1995		
	11		3285		2255		10420		7052		1929		
	12		2980		2256		11012		6859		1914		
	13		3007		2257		10882		6842		1868		
	14		2967		2256		10652		7016		1675		
	15		3044		2256		10266		7008		1771		
	16		2822		2256		10241		7297		1706		
	17		2541		2255		10726		7811		1977		
	18		2616		2254		11976		8201		2609		
	19		2672		2255		12555		7504		2639		
	20		2568		2254		11793		8050		2251		
	21		2489		2255		11206		7939		2203		
	22		2423		2255		10860		7573		1865		
	23		2287		2256		9518		7513		1763		
	24		2265		2257		8909		6575		1587		
