12/21/14			Hourly Breakdown of Renewable Resources (MW)														
	Hour		GEOTHERMAL	BIOMASS		BIOGAS		SMALL HYDRO	WIND TOTAL	SOLAR PV	SOLAR THERMAL						
	1		1014		260		172		226		1642		0		0		
	2		1053		253		172		184		1561		0		0		
	3		1052		251		172		183		1652		0		0		
	4		1050		260		172		182		1766		0		0		
	5		1053		260		172		183		2017		0		0		
	6		1054		261		172		222		1948		0		0		
	7		1052		272		172		242		1802		0		0		
	8		1052		275		171		242		1929		324		0		
	9		1050		266		170		239		1947		1091		0		
	10		1048		254		170		239		1953		1821		1		
	11		1045		270		169		242		2003		2320		0		
	12		1043		267		169		239		1984		2578		0		
	13		964		255		168		245		2136		2250		0		
	14		1037		250		170		261		2308		1925		0		
	15		1040		255		170		261		2228		1219		0		
	16		1040		281		171		286		2126		532		0		
	17		1041		285		171		292		2364		0		0		
	18		1044		283		172		353		2627		0		0		
	19		1045		270		172		367		2551		0		0		
	20		1049		267		172		330		2266		0		0		
	21		1050		269		173		325		2121		0		0		
	22		1050		267		173		294		2087		0		0		
	23		1051		263		173		284		1998		0		0		
	24		1053		259		172		258		2115		0		0		
																	
																	
			Hourly Breakdown of Total Production by Resource Type (MW)														
	Hour		RENEWABLES	NUCLEAR		THERMAL		IMPORTS		HYDRO							
	1		3314		2138		7201		8556		439						
	2		3223		2139		6968		8171		322						
	3		3309		2139		6394		8162		185						
	4		3429		2140		6332		7842		164						
	5		3685		2140		6157		7883		97						
	6		3657		2140		6043		8102		383						
	7		3540		2141		6101		8649		512						
	8		3993		2141		5737		8458		769						
	9		4763		2140		5589		8650		880						
	10		5487		2141		5873		8486		751						
	11		6050		2140		6183		8251		587						
	12		6278		2139		6093		8437		267						
	13		6018		2138		6242		8448		248						
	14		5951		2139		6426		8115		403						
	15		5172		2142		7304		7630		669						
	16		4436		2142		7350		8269		946						
	17		4154		2142		7734		8964		1375						
	18		4479		2141		9638		9530		1737						
	19		4406		2143		10051		9594		1816						
	20		4085		2144		10001		9700		1824						
	21		3937		2143		10054		9240		1760						
	22		3871		2143		9276		9206		1441						
	23		3769		2143		8164		8840		1252						
	24		3856		2144		7058		8557		732						
